Academic Year|School Number|School Name|School Level|Elementary Male Enrolment|Elementary Female Enrolment|Secondary Male Enrolment|Secondary Female Enrolment|Total Male Enrolment|Total Female Enrolment
2018-2019|877549|Trillium Waldorf School|Elementary|70|95|||70|95
2018-2019|885240|Trinity Christian School|Elementary|115|115|||115|115
2018-2019|886254|Trinity College School|Elem/Sec|50|50|240|220|290|270
2018-2019|665215|Trinity Montessori School|Elementary|30|45|||30|45
2018-2019|886194|Triple Hills|Elementary|10|<10|||10|SP
2018-2019|884816|True North Academy|Elementary|15|20|||15|20
2018-2019|665506|True North Christian Academy|Elementary|<10|<10|||SP|SP
2018-2019|876496|True North Christian Academy|Elementary|<10|<10|||SP|SP
2018-2019|876305|Turnberry Parochial School|Elementary|<10|10|||SP|10
2018-2019|668681|Turnbull School|Elementary|225|130|||225|130
2018-2019|666482|UMC High School|Elem/Sec|<10|<10|55|40|SP|SP
2018-2019|888748|UMC High School – Eglinton Campus|Secondary|||135|125|135|125
2018-2019|882776|UMCA International Academy - North York|Secondary|||<10|<10|SP|SP
2018-2019|668410|UMCA Rich Tree Academy|Elem/Sec|75|55|25|15|100|70
2018-2019|881623|USCA Academy|Secondary|||<10|<10|SP|SP
2018-2019|881924|UT Preparatory Academy|Secondary|||25|10|25|10
2018-2019|884350|Uchenna Academy|Secondary|||<10|<10|SP|SP
2018-2019|665614|Um Al-Qura Islamic School|Elem/Sec|55|70|||55|70
2018-2019|665201|Ummati School|Elementary|25|30|||25|30
2018-2019|669565|Umu Khalid Islamic School|Elementary|<10|<10|||SP|SP
2018-2019|668892|Unionville Academy|Secondary|||<10|<10|SP|SP
2018-2019|877433|Unionville Montessori School|Elem/Sec|505|495|||505|495
2018-2019|884124|Unique Chinese School - 1|Elementary|50|45|||50|45
2018-2019|665953|Unique Chinese School - 2|Elementary|50|40|||50|40
2018-2019|885800|United Mennonite Educational Institute|Secondary|||30|40|30|40
2018-2019|667366|Unity Christian High School|Secondary|||30|35|30|35
2018-2019|667510|University of Toronto Schools|Elem/Sec|95|100|280|290|380|395
2018-2019|886858|Upper Canada College|Elem/Sec|410||755||1,165|
2018-2019|668518|Upper York School|Elem/Sec|<10|<10|15|10|SP|SP
2018-2019|669951|Upper York Secondary School|Secondary|||15|10|15|10
2018-2019|889474|Upsala Christian School|Elem/Sec|<10|<10||<10|SP|SP
2018-2019|885115|Urban International School|Secondary|||90|80|90|80
2018-2019|876453|Uxbridge Montessori School|Elementary|35|30|||35|30
2018-2019|669890|VIP Academy|Secondary|||<10|<10|SP|SP
2018-2019|885052|Vanguard High School|Secondary|||<10|<10|SP|SP
2018-2019|669585|Vanguard Online Academy|Secondary||||<10||SP
2018-2019|886962|Vaughan Baptist Christian Academy|Elem/Sec|<10|<10|<10|<10|10|SP
2018-2019|666098|Vaughan College|Secondary|||25|10|25|10
2018-2019|888664|Verideia Classical Christian Academy|Elementary|25|45|||25|45
2018-2019|882681|Vert Casa Montessori Academy|Elementary|15|10|||15|10
2018-2019|663263|Vezina|Secondary|||55|65|55|65
2018-2019|669153|Victus Academy|Elem/Sec|15|<10|40|<10|55|SP
2018-2019|669681|Vineridge Academy|Secondary|||50|55|50|55
2018-2019|665347|Virgil Old Colony Christian School|Elementary|65|60|||65|60
2018-2019|883303|Virtual Elementary School|Elementary|25|35|||25|35
2018-2019|665681|Virtual High School|Secondary|||2,490|2,305|2,490|2,305
2018-2019|880681|Virtute Innovation and Art Education|Secondary|||<10|<10|SP|SP
2018-2019|665142|Voice Integrative Private School|Elementary|50|55|||50|55
2018-2019|663727|Wahsa Distance Education Centre|Secondary|||290|455|290|455
2018-2019|667399|Walden International School|Elementary|115|85|||115|85
2018-2019|884693|Waldorf Academy|Elementary|70|60|||70|60
2018-2019|669384|Wales College Secondary School|Secondary|||40|35|40|35
2018-2019|881389|Wali ul Asr School|Elem/Sec|80|100|35|35|115|135
2018-2019|888393|Wali ul Asr School - Niagara Campus|Elementary|25|40|||25|40
2018-2019|881974|Wali ul Asr School -GTA East Campus|Elem/Sec|75|100|<10|15|SP|115
2018-2019|665704|Wali ul Asr School -GTA West Campus|Elementary|70|100|||70|100
2018-2019|886610|Wallaceburg Christian Private School|Elementary|40|40|||40|40
2018-2019|876852|Walsingham Christian School|Elem/Sec|115|90|||115|90
2018-2019|668370|Waterloo Independent Secondary School|Secondary|||15|10|15|10
2018-2019|883796|Webtree Academy|Secondary|||<10|<10|SP|SP
2018-2019|880927|Welland Christian Academy|Elem/Sec|<10|<10|<10|<10|SP|SP
2018-2019|876976|Wellington Hall Academy|Elementary|15|10|||15|10
2018-2019|669203|Wells Academy|Elem/Sec|20|20|<10||SP|20
2018-2019|875910|Wesley Christian Academy|Elementary|150|155|||150|155
2018-2019|887630|West Amish School|Elementary|10|20|||10|20
2018-2019|884981|West Bentinck Amish Parochial School|Elementary|10|<10|||10|SP
2018-2019|889580|West Hesson Parochial School|Elementary|20|20|||20|20
2018-2019|888524|West Montrose Parochial School|Elementary|15|<10|||15|SP
2018-2019|876194|Westboro Academy|Elementary|75|60|||75|60
2018-2019|667931|Westfield Secondary School|Secondary|||45|30|45|30
2018-2019|668494|Westminster Classical Christian Academy|Elem/Sec|45|35|<10|<10|SP|SP
2018-2019|667318|Weston Learning Centre Inc|Secondary|||<10|<10|SP|SP
2018-2019|665427|Westside Montessori School|Elementary|25|20|||25|20
2018-2019|883824|Wheatley School of Montessori Education|Elem/Sec|90|65|<10|<10|SP|SP
2018-2019|667764|Whispering Spruce|Elementary|<10|<10|||SP|SP
2018-2019|669262|Whitby Montessori & Elementary School|Elementary|55|30|||55|30
2018-2019|876968|White Oaks Montessori School|Elementary|40|40|||40|40
2018-2019|878804|Whitechurch Christian Day School|Elementary|<10|<10|||SP|SP
2018-2019|875015|Whitefield Christian Schools|Elem/Sec|95|85|40|30|135|110
2018-2019|663662|Wikwemikong High School|Secondary|||85|80|85|80
2018-2019|666300|Wildwood Academy|Elementary|40|10|||40|10
2018-2019|665327|Wildwood Parochial School|Elementary|15|15|||15|15
2018-2019|889106|William Academy|Elem/Sec|||15|15|15|15
2018-2019|668187|William Academy Scarborough|Secondary|||60|40|60|40
2018-2019|883539|WillowWood School|Elem/Sec|65|25|80|45|145|70
2018-2019|887307|Willowdale Christian School|Elementary|80|55|||80|55
2018-2019|885998|Willowdale High School|Secondary|||25|25|25|25
2018-2019|885355|Windsor Adventist Elementary School|Elementary|15|15|||15|15
2018-2019|881190|Windsor Islamic High School|Secondary|||20|<10|20|SP
2018-2019|887420|Winfield Parochial School|Elementary|10|10|||10|10
2018-2019|881287|Wingham Baptist Church School|Elem/Sec|<10|<10||<10|SP|SP
2018-2019|887471|Winterbourne Parochial School|Elementary|15|<10|||15|SP
2018-2019|884327|Wisdom Academy|Secondary|||<10|<10|SP|SP
2018-2019|889679|Wishing Well Montessori Schools|Elementary|85|85|||85|85
2018-2019|666261|Wiz Kidz Learning Centre Inc.|Secondary|||35|50|35|50
2018-2019|889326|Woodland Christian High School|Secondary|||160|160|160|160
2018-2019|882502|Woodland Corners Parochial School|Elementary|25|30|||25|30
2018-2019|875627|Woodland Springs Parochial School|Elementary|10|10|||10|10
2018-2019|881774|Woodside Melody Parochial|Elementary|15|15|||15|15
2018-2019|886173|Woodstock Christian School|Elementary|130|115|||130|115
2018-2019|665878|Woodview Learning Centre|Elementary|15|<10|||15|SP
2018-2019|665040|World Life Education Inc|Secondary|||<10|<10|SP|SP
2018-2019|665374|World Strides|Secondary||||<10||SP
2018-2019|665249|Wychwood School|Elementary||<10||||SP
2018-2019|883487|Xyna International High School|Elem/Sec|||45|20|45|20
2018-2019|668036|Xyna International School|Elem/Sec||||<10||SP
2018-2019|669074|YIP's Collegiate School|Secondary|||<10||SP|
2018-2019|666543|YMCA Academy|Elem/Sec|<10||40|25|SP|25
2018-2019|887625|Yatton Mennonite Parochial School|Elementary|20|15|||20|15
2018-2019|882755|Yeshiva Bnei Zion of Toronto|Elementary|165||||165|
2018-2019|665282|Yeshiva Darchei Torah Private High Schoo|Secondary|||75||75|
2018-2019|884928|Yeshiva Gedolah of Toronto|Secondary|||70||70|
2018-2019|887633|Yeshiva Yesodei Hatorah|Elementary|620||||620|
2018-2019|884952|Yeshivas Nachalas ZVI|Secondary|||80||80|
2018-2019|666122|Yeshivas Nefesh Dovid|Secondary|||10||10|
2018-2019|879398|Yinghua - Bond International College|Secondary|||140|120|140|120
2018-2019|880132|York School, The|Elem/Sec|90|80|155|130|245|210
2018-2019|881483|Yorkdale Academy|Elem/Sec|<10|<10||<10|SP|SP
2018-2019|884012|Yorkland High School|Secondary|||65|40|65|40
2018-2019|884778|Z3 Education Centre|Elem/Sec|<10|<10|<10|<10|SP|10
2018-2019|663735|Zhingwaako Za'iganing School|Elem/Sec|||<10|<10|SP|SP
2018-2019|669838|Zoe Christian Academy|Elem/Sec|<10|<10|<10|<10|SP|SP
2018-2019|884310|uStudy Learning Center|Secondary|||15|15|15|15
2018-2019|882721|École Notre-Dame du Mont Carmel|Elem/Sec|35|25|<10|<10|SP|SP
2018-2019|667293|École lbn Batouta|Elem/Sec|50|30|<10||SP|30
